,Country_Code,Year,GDP
0,ABW,2003,2044134078.0
1,AFG,2003,4539496563.0
2,AGO,2003,17812704626.0
3,ALB,2003,5611496257.0
4,AND,2003,2361635782.0
5,ARB,2003,893818000000.0
6,ARE,2003,124346000000.0
7,ARG,2003,127587000000.0
8,ARM,2003,2807061009.0
9,ASM,2003,524000000.0
10,ATG,2003,856396296.3
11,AUS,2003,467498000000.0
12,AUT,2003,262274000000.0
13,AZE,2003,7276413079.0
14,BDI,2003,784654423.6
15,BEL,2003,318083000000.0
16,BEN,2003,5349258093.0
17,BFA,2003,4740768141.0
18,BGD,2003,60158929188.0
19,BGR,2003,21144962058.0
20,BHR,2003,11074813830.0
21,BHS,2003,8870090000.0
22,BIH,2003,8498893358.0
23,BLR,2003,17825437483.0
24,BLZ,2003,1298000000.0
25,BMU,2003,4186525000.0
26,BOL,2003,8082399991.0
27,BRA,2003,558234000000.0
28,BRB,2003,3209500000.0
29,BRN,2003,6557395816.0
30,BTN,2003,603999372.4
31,BWA,2003,7511582173.0
32,CAF,2003,1142315522.0
33,CAN,2003,895541000000.0
34,CEB,2003,634393000000.0
35,CHE,2003,362088000000.0
36,CHI,2003,7332244898.0
37,CHL,2003,76507853876.0
38,CHN,2003,1660280000000.0
39,CIV,2003,21251754335.0
40,CMR,2003,15970315030.0
41,COD,2003,8937567060.0
42,COG,2003,3503723087.0
43,COL,2003,94644969146.0
44,COM,2003,546885223.2
45,CPV,2003,813260468.9
46,CRI,2003,17271760507.0
47,CSS,2003,39887632895.0
48,CUB,2003,35901200000.0
49,CUW,2003,
50,CYM,2003,
51,CYP,2003,14547325028.0
52,CZE,2003,100090000000.0
53,DEU,2003,2501640000000.0
54,DJI,2003,622044665.5
55,DMA,2003,343311111.1
56,DNK,2003,218097000000.0
57,DOM,2003,21403168128.0
58,DZA,2003,67863850334.0
59,EAP,2003,2311300000000.0
60,EAR,2003,3633100000000.0
61,EAS,2003,8699260000000.0
62,ECA,2003,947224000000.0
63,ECS,2003,13536900000000.0
64,ECU,2003,32432858000.0
65,EGY,2003,80288461538.0
66,EMU,2003,8862330000000.0
67,ERI,2003,870248293.7
68,ESP,2003,907492000000.0
69,EST,2003,9874013098.0
70,ETH,2003,8623691300.0
71,EUU,2003,9932180000000.0
72,FCS,2003,540102000000.0
73,FIN,2003,171652000000.0
74,FJI,2003,2300492002.0
75,FRA,2003,1844540000000.0
76,FRO,2003,1501941505.0
77,FSM,2003,245432900.0
78,GAB,2003,6511903364.0
79,GBR,2003,2056700000000.0
80,GEO,2003,3991377904.0
81,GHA,2003,7632720680.0
82,GIB,2003,
83,GIN,2003,3446441785.0
84,GMB,2003,487038679.4
85,GNB,2003,477458577.2
86,GNQ,2003,2484745935.0
87,GRC,2003,202370000000.0
88,GRD,2003,591018407.4
89,GRL,2003,1558759744.0
90,GTM,2003,21576351799.0
91,GUM,2003,3569000000.0
92,GUY,2003,743063949.0
93,HIC,2003,32125500000000.0
94,HKG,2003,161386000000.0
95,HND,2003,8230391505.0
96,HPC,2003,211521000000.0
97,HRV,2003,35254833028.0
98,HTI,2003,5071947798.0
99,HUN,2003,85285075492.0
100,IBD,2003,6747930000000.0
101,IBT,2003,7411820000000.0
102,IDA,2003,664924000000.0
103,IDB,2003,256312000000.0
104,IDN,2003,234772000000.0
105,IDX,2003,409446000000.0
106,IMN,2003,2328658228.0
107,IND,2003,607699000000.0
108,INX,2003,
109,IRL,2003,164671000000.0
110,IRN,2003,153545000000.0
111,IRQ,2003,21921569479.0
112,ISL,2003,11429335645.0
113,ISR,2003,131299000000.0
114,ITA,2003,1577620000000.0
115,JAM,2003,9430234852.0
116,JOR,2003,10195627645.0
117,JPN,2003,4519560000000.0
118,KAZ,2003,30833692831.0
119,KEN,2003,14904517650.0
120,KGZ,2003,1919008090.0
121,KHM,2003,4658246918.0
122,KIR,2003,90231027.78
123,KNA,2003,469869869.9
124,KOR,2003,702717000000.0
125,KWT,2003,47874659168.0
126,LAC,2003,1759190000000.0
127,LAO,2003,2023324407.0
128,LBN,2003,20082918740.0
129,LBR,2003,748000000.0
130,LBY,2003,26265625000.0
131,LCA,2003,987407407.4
132,LCN,2003,2055790000000.0
133,LDC,2003,260881000000.0
134,LIC,2003,219319000000.0
135,LIE,2003,3070803439.0
136,LKA,2003,18881765437.0
137,LMC,2003,1680000000000.0
138,LMY,2003,6945040000000.0
139,LSO,2003,1157825409.0
140,LTE,2003,4257880000000.0
141,LTU,2003,18781721376.0
142,LUX,2003,29667268248.0
143,LVA,2003,11771975157.0
144,MAC,2003,8246479395.0
145,MAF,2003,
146,MAR,2003,58029361339.0
147,MCO,2003,3597052153.0
148,MDA,2003,1980907435.0
149,MDG,2003,6372498891.0
150,MDV,2003,1052121055.0
151,MEA,2003,1158770000000.0
152,MEX,2003,729335000000.0
153,MHL,2003,131398500.0
154,MIC,2003,6732420000000.0
155,MKD,2003,4946296569.0
156,MLI,2003,4714071978.0
157,MLT,2003,5489359281.0
158,MMR,2003,7754647428.0
159,MNA,2003,577708000000.0
160,MNE,2003,1707710053.0
161,MNG,2003,1595297356.0
162,MNP,2003,1239000000.0
163,MOZ,2003,6303399758.0
164,MRT,2003,2051147607.0
165,MUS,2003,5816559039.0
166,MWI,2003,4669789300.0
167,MYS,2003,110202000000.0
168,NAC,2003,12356200000000.0
169,NAM,2003,4926439275.0
170,NCL,2003,4915353826.0
171,NER,2003,3394084731.0
172,NGA,2003,104739000000.0
